EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		13	0f3d20a9cdbade719ae55fcd71da3ff3b7460e3e	4/19/2017 10:20:12 AM		4/19/2017 10:20:19 AM	6.19578
ClickButton	Shape/VRects					4/19/2017 10:21:31 AM	78.32062
FractionGenerated	VRects	vrect_1				4/19/2017 10:21:31 AM	78.32062
PressFraction	VRects	vrect_1		0/0	(1.125, 0)	4/19/2017 10:21:43 AM	90.10851
ReleaseFraction	VRects	vrect_1		0/0	(1.125, 0)	4/19/2017 10:21:43 AM	90.27655
FractionChange	Denominator	vrect_1		1		4/19/2017 10:21:45 AM	92.51954
FractionChange	Denominator	vrect_1		2		4/19/2017 10:21:46 AM	92.83065
PressFraction	VRects	vrect_1		0/2	(1.125, 0)	4/19/2017 10:21:47 AM	93.92554
ReleaseFraction	VRects	vrect_1		0/2	(1.125, 0)	4/19/2017 10:21:47 AM	94.09563
FractionChange	Numerator	vrect_1		1		4/19/2017 10:21:49 AM	95.7326
PressFraction	VRects	vrect_1		1/2	(1.125, 0)	4/19/2017 10:21:51 AM	97.91566
ReleaseFraction	VRects	vrect_1		1/2	(1.125, 0)	4/19/2017 10:21:51 AM	98.06965
FractionChange	Denominator	vrect_1		3		4/19/2017 10:21:52 AM	99.02868
FractionChange	Denominator	vrect_1		2		4/19/2017 10:21:59 AM	106.0197
ClickButton	OpenTaskDescription					4/19/2017 10:22:24 AM	131.164
PressFraction	VRects	vrect_1		1/2	(1.125, 0)	4/19/2017 10:22:30 AM	136.6578
ReleaseFraction	VRects	vrect_1		1/2	(1.125, 0)	4/19/2017 10:22:30 AM	136.8359
FractionChange	Numerator	vrect_1		2		4/19/2017 10:22:33 AM	139.7159
PressFraction	VRects	vrect_1		2/2	(1.125, 0)	4/19/2017 10:22:34 AM	141.2839
ReleaseFraction	VRects	vrect_1		2/2	(1.558333, 0.1666667)	4/19/2017 10:22:34 AM	141.4279
PressFraction	VRects	vrect_1		2/2	(1.558333, 0.1666667)	4/19/2017 10:22:35 AM	141.8589
ReleaseFraction	VRects	vrect_1		2/2	(1.558333, 0.1666667)	4/19/2017 10:22:35 AM	142.0179
FractionChange	Denominator	vrect_1		1		4/19/2017 10:22:36 AM	143.0209
PressFraction	VRects	vrect_1		2/1	(1.558333, 0.1666667)	4/19/2017 10:22:40 AM	146.861
FractionTrashed	VRects	vrect_1		2/1		4/19/2017 10:22:42 AM	148.7069
ReleaseFraction	VRects	vrect_1		2/1	(-11.43333, 8.266666)	4/19/2017 10:22:42 AM	148.7069
ClickButton	Shape/HRects					4/19/2017 10:22:55 AM	162.3299
FractionGenerated	HRects	hrect_2				4/19/2017 10:22:55 AM	162.3299
PressFraction	HRects	hrect_2		0/0	(1.125, -1)	4/19/2017 10:22:57 AM	164.195
ReleaseFraction	HRects	hrect_2		0/0	(1.125, -1)	4/19/2017 10:22:57 AM	164.33
FractionChange	Denominator	hrect_2		1		4/19/2017 10:22:58 AM	165.0639
FractionChange	Denominator	hrect_2		2		4/19/2017 10:22:59 AM	166.384
FractionChange	Denominator	hrect_2		3		4/19/2017 10:23:02 AM	168.6081
FractionChange	Denominator	hrect_2		2		4/19/2017 10:23:07 AM	173.6741
PressFraction	HRects	hrect_2		0/2	(1.125, -1)	4/19/2017 10:23:08 AM	174.6651
ReleaseFraction	HRects	hrect_2		0/2	(1.125, -1)	4/19/2017 10:23:08 AM	174.8153
FractionChange	Numerator	hrect_2		1		4/19/2017 10:23:09 AM	175.8161
ClickButton	OpenTaskDescription					4/19/2017 10:23:37 AM	204.1223
PressFraction	HRects	hrect_2		1/2	(1.125, -1)	4/19/2017 10:23:51 AM	218.1654
ReleaseFraction	HRects	hrect_2		1/2	(1.158333, -1)	4/19/2017 10:23:51 AM	218.3343
ClickButton	Shape/HRects					4/19/2017 10:24:29 AM	256.4266
FractionGenerated	HRects	hrect_3				4/19/2017 10:24:29 AM	256.4266
PressFraction	HRects	hrect_3		0/0	(0.125, 0)	4/19/2017 10:24:32 AM	259.2836
ReleaseFraction	HRects	hrect_3		0/0	(-9.175001, 6.5)	4/19/2017 10:24:33 AM	260.2526
PressFraction	HRects	hrect_3		0/0	(-9.175001, 6.5)	4/19/2017 10:24:35 AM	262.1326
FractionTrashed	HRects	hrect_3		0/0		4/19/2017 10:24:36 AM	262.9317
ReleaseFraction	HRects	hrect_3		0/0	(-11.16667, 8.933333)	4/19/2017 10:24:36 AM	262.9317
PressFraction	HRects	hrect_2		1/2	(1.158333, -1)	4/19/2017 10:24:37 AM	263.8586
FractionTrashed	HRects	hrect_2		1/2		4/19/2017 10:24:38 AM	265.5326
ReleaseFraction	HRects	hrect_2		1/2	(-12.16667, 8.366667)	4/19/2017 10:24:38 AM	265.5326
ClickButton	Shape/VRects					4/19/2017 10:24:43 AM	269.8697
FractionGenerated	VRects	vrect_4				4/19/2017 10:24:43 AM	269.8697
PressFraction	VRects	vrect_4		0/0	(1.125, 1)	4/19/2017 10:24:51 AM	277.6357
ReleaseFraction	VRects	vrect_4		0/0	(1.125, 1)	4/19/2017 10:24:51 AM	277.8118
FractionChange	Denominator	vrect_4		1		4/19/2017 10:24:52 AM	279.0848
FractionChange	Denominator	vrect_4		2		4/19/2017 10:25:03 AM	290.3219
ClickButton	OpenTaskDescription					4/19/2017 10:25:07 AM	294.1699
PressFraction	VRects	vrect_4		0/2	(1.125, 1)	4/19/2017 10:25:33 AM	320.327
ReleaseFraction	VRects	vrect_4		0/2	(1.125, 1)	4/19/2017 10:25:33 AM	320.463
FractionChange	Denominator	vrect_4		3		4/19/2017 10:25:34 AM	321.517
FractionChange	Denominator	vrect_4		4		4/19/2017 10:25:35 AM	321.7352
FractionChange	Denominator	vrect_4		5		4/19/2017 10:25:35 AM	321.9281
FractionChange	Denominator	vrect_4		6		4/19/2017 10:25:35 AM	322.1281
FractionChange	Denominator	vrect_4		7		4/19/2017 10:25:35 AM	322.321
FractionChange	Denominator	vrect_4		8		4/19/2017 10:25:36 AM	322.6871
FractionChange	Denominator	vrect_4		9		4/19/2017 10:25:36 AM	322.905
FractionChange	Denominator	vrect_4		10		4/19/2017 10:25:36 AM	323.119
FractionChange	Denominator	vrect_4		11		4/19/2017 10:25:36 AM	323.3451
FractionChange	Denominator	vrect_4		12		4/19/2017 10:25:37 AM	323.583
FractionChange	Denominator	vrect_4		13		4/19/2017 10:25:37 AM	323.8101
FractionChange	Denominator	vrect_4		14		4/19/2017 10:25:37 AM	324.0321
FractionChange	Denominator	vrect_4		15		4/19/2017 10:25:37 AM	324.2711
FractionChange	Denominator	vrect_4		16		4/19/2017 10:25:37 AM	324.4871
FractionChange	Denominator	vrect_4		17		4/19/2017 10:25:38 AM	324.7281
FractionChange	Denominator	vrect_4		18		4/19/2017 10:25:38 AM	324.9351
FractionChange	Denominator	vrect_4		19		4/19/2017 10:25:38 AM	325.176
FractionChange	Denominator	vrect_4		20		4/19/2017 10:25:38 AM	325.4071
FractionChange	Denominator	vrect_4		21		4/19/2017 10:25:39 AM	325.647
FractionChange	Denominator	vrect_4		22		4/19/2017 10:25:39 AM	325.9051
FractionChange	Denominator	vrect_4		23		4/19/2017 10:25:40 AM	326.6721
FractionChange	Denominator	vrect_4		24		4/19/2017 10:25:40 AM	327.1911
FractionChange	Denominator	vrect_4		25		4/19/2017 10:25:40 AM	327.4661
FractionChange	Denominator	vrect_4		26		4/19/2017 10:25:41 AM	327.6731
FractionChange	Denominator	vrect_4		27		4/19/2017 10:25:41 AM	327.9851
FractionChange	Denominator	vrect_4		28		4/19/2017 10:25:41 AM	328.3262
FractionChange	Denominator	vrect_4		29		4/19/2017 10:25:42 AM	328.6011
FractionChange	Denominator	vrect_4		30		4/19/2017 10:25:42 AM	328.9023
FractionChange	Denominator	vrect_4		31		4/19/2017 10:25:42 AM	329.2101
FractionChange	Denominator	vrect_4		32		4/19/2017 10:25:43 AM	329.8223
FractionChange	Denominator	vrect_4		33		4/19/2017 10:25:43 AM	330.4672
FractionChange	Denominator	vrect_4		34		4/19/2017 10:25:44 AM	331.1502
FractionChange	Denominator	vrect_4		35		4/19/2017 10:25:45 AM	332.0102
FractionChange	Denominator	vrect_4		36		4/19/2017 10:25:46 AM	332.9111
FractionChange	Denominator	vrect_4		37		4/19/2017 10:25:47 AM	333.5902
PressFraction	VRects	vrect_4		0/37	(1.125, 1)	4/19/2017 10:25:52 AM	339.3911
ReleaseFraction	VRects	vrect_4		0/37	(1.125, 1)	4/19/2017 10:25:53 AM	339.6013
FractionChange	Numerator	vrect_4		1		4/19/2017 10:25:55 AM	342.2493
ClickButton	OpenTaskDescription					4/19/2017 10:25:59 AM	346.4713
PressFraction	VRects	vrect_4		1/37	(1.125, 1)	4/19/2017 10:26:05 AM	351.5832
FractionTrashed	VRects	vrect_4		1/37		4/19/2017 10:26:06 AM	352.6052
ReleaseFraction	VRects	vrect_4		1/37	(-12.16667, 8.366667)	4/19/2017 10:26:06 AM	352.6052
ClickButton	Shape/HRects					4/19/2017 10:26:09 AM	355.8452
FractionGenerated	HRects	hrect_5				4/19/2017 10:26:09 AM	355.8452
FractionChange	Denominator	hrect_5		1		4/19/2017 10:26:12 AM	358.5753
FractionChange	Denominator	hrect_5		2		4/19/2017 10:26:13 AM	359.6724
FractionChange	Denominator	hrect_5		3		4/19/2017 10:26:13 AM	360.1582
FractionChange	Denominator	hrect_5		4		4/19/2017 10:26:14 AM	360.7043
