source,target,type,year,code
Samuel Severance,Neuroscience and Behavior,Undirected,2016,00
Samuel Severance,Fine arts,Undirected,2016,00
Samuel Severance,Instruction and Curriculum,Undirected,2016,10
Samuel Severance,Secondary Science Licensure,Undirected,2016,10
Samuel Severance,Learning Sciences,Undirected,2016,20
Samuel Severance,Human Development,Undirected,2016,20
Samuel Severance,Cognitive Science,Undirected,2016,20
Samuel Severance,Education,Undirected,2016,30
Samuel Severance,Cognitive Science,Undirected,2016,30
Samuel Severance,Innovation and Creativity,Undirected,2016,30
Tamara Sumner,Cognitive and Computer Science,Undirected,2016,30
Tamara Sumner,Cognitive Science,Undirected,2016,30
Tamara Sumner,Innovation and Creativity,Undirected,2016,30
Heather Leary,Instruction Technology,Undirected,2016,10
Heather Leary,Instructional Psychology and Technology,Undirected,2016,20
Heather Leary,Instructional Psychology and Technology,Undirected,2016,30
Kris D. Guti¨¦rrez,Educational Policy,Undirected,2016,30
Kris D. Guti¨¦rrez,"Language, Literacy and Culture",Undirected,2016,30
A. Susan Jurow,Psychology,Undirected,2016,00
A. Susan Jurow,Education,Undirected,2016,10
A. Susan Jurow,Education,Undirected,2016,20
A. Susan Jurow,Educational Psychology,Undirected,2016,30
A. Susan Jurow,Learning Sciences,Undirected,2016,30
Annalisa Sannino,Psychology,Undirected,2016,20
Annalisa Sannino,"Activity, Development and Learning",Undirected,2016,30
Yrj? Engestr?m,Educational Sciences,Undirected,2016,30
Monica Lemos,Applied Linguistics to Language Teaching,Undirected,2016,10
Monica Lemos,Educational sciences,Undirected,2016,30
Monica Lemos,Lauguages,Undirected,2016,30
Monica Lemos,Media and communications,Undirected,2016,30
James G. Greeno,Psychology,Undirected,2016,00
James G. Greeno,Psychology,Undirected,2016,10
James G. Greeno,Psychology,Undirected,2016,20
James G. Greeno,Learning Research and Development,Undirected,2016,30
