source,target,type,year,make
Naomi Miyake,Education,Undirected,2006,10
Naomi Miyake,Psychology,Undirected,2006,20
Naomi Miyake,Learning Sciences,Undirected,2006,30
Naomi Miyake,Cognitive Sciences,Undirected,2006,30
Joanne Lobato,Maths Education,Undirected,2006,20
Joanne Lobato,Learning Sciences,Undirected,2006,30
Randi A. Engle,Psychology,Undirected,2006,00
Randi A. Engle,Maths,Undirected,2006,00
Randi A. Engle,Education,Undirected,2006,20
Randi A. Engle,Learning Sciences,Undirected,2006,30
James G. Greeno,Education,Undirected,2006,30
James G. Greeno,Psychology,Undirected,2006,30
James G. Greeno,Cognitive Sciences,Undirected,2006,30
Jennifer R. Seymour,Educational Psychology,Undirected,2006,30
Jennifer R. Seymour,Cognitive Sciences,Undirected,2006,30
Jennifer R. Seymour,Maths Education,Undirected,2006,30
Jennifer R. Seymour,Learning Sciences,Undirected,2006,30
Richard Lehrer,Biology,Undirected,2006,00
Richard Lehrer,Educational Psychology,Undirected,2006,20
Richard Lehrer,Statistics,Undirected,2006,20
Richard Lehrer,Learning Sciences,Undirected,2006,30
