EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		16	315a506b45bf99b6c629709c51653b74e738aec5	4/18/2017 12:59:34 PM		4/18/2017 1:00:55 PM	77.20605
ClickButton	Shape/HRects					4/18/2017 1:01:35 PM	117.121
FractionGenerated	HRects	hrect_1				4/18/2017 1:01:35 PM	117.121
FractionChange	Denominator	hrect_1		1		4/18/2017 1:01:37 PM	118.9801
FractionChange	Denominator	hrect_1		2		4/18/2017 1:01:37 PM	119.4571
FractionChange	Denominator	hrect_1		3		4/18/2017 1:01:38 PM	119.9121
FractionChange	Denominator	hrect_1		4		4/18/2017 1:01:38 PM	120.3011
PressFraction	HRects	hrect_1		0/4	(1.125, -0.9999939)	4/18/2017 1:01:39 PM	120.9953
ReleaseFraction	HRects	hrect_1		0/4	(1.125, -0.9999939)	4/18/2017 1:01:39 PM	121.0931
FractionChange	Numerator	hrect_1		1		4/18/2017 1:01:40 PM	122.1511
FractionChange	Numerator	hrect_1		2		4/18/2017 1:01:40 PM	122.4592
EndStateReached						4/18/2017 1:01:43 PM	125.4663
PopupAfterTaskReflection						4/18/2017 1:02:38 PM	180.2481
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/18/2017 1:02:47 PM		4/18/2017 1:02:47 PM	189.4954
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/18/2017 1:02:55 PM		4/18/2017 1:02:55 PM	196.9955
PopupAfterTaskReflection_Response	ContinueSelected			4/18/2017 1:03:01 PM		4/18/2017 1:03:01 PM	203.5377
Feedback	FeedbackPresented			当你想要改变分母但是又要保证分数值不变的时候，你需要做些什么？		4/18/2017 1:03:19 PM	221.5672
ClickButton	LiquidMeasures					4/18/2017 1:05:29 PM	351.2477
FractionGenerated	LiquidMeasures	liquid_2				4/18/2017 1:05:29 PM	351.2477
PressFraction	LiquidMeasures	liquid_2		0/0	(0.9375, -1)	4/18/2017 1:05:36 PM	357.8714
FractionTrashed	LiquidMeasures	liquid_2		0/0		4/18/2017 1:05:37 PM	358.9234
ReleaseFraction	LiquidMeasures	liquid_2		0/0	(0.9375, -1)	4/18/2017 1:05:37 PM	358.9234
ClickButton	HideRepresentaionToolbar					4/18/2017 1:06:15 PM	396.8205
ClickButton	ShowRepresentaionToolbar					4/18/2017 1:06:17 PM	398.8137
ClickButton	Set/Moons					4/18/2017 1:07:00 PM	442.7079
FractionGenerated	MoonSets	moonset_3				4/18/2017 1:07:01 PM	442.7079
PressFraction	MoonSets	moonset_3		0/0	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.0925
ReleaseFraction	MoonSets	moonset_3		0/0	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.1862
FractionChange	Denominator	moonset_3		1		4/18/2017 1:07:08 PM	450.1862
PressFraction	MoonSets	moonset_3		0/1	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.2901
ReleaseFraction	MoonSets	moonset_3		0/1	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.3792
FractionChange	Denominator	moonset_3		2		4/18/2017 1:07:08 PM	450.3792
PressFraction	MoonSets	moonset_3		0/2	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.4692
ReleaseFraction	MoonSets	moonset_3		0/2	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.5621
FractionChange	Denominator	moonset_3		3		4/18/2017 1:07:08 PM	450.5621
PressFraction	MoonSets	moonset_3		0/3	(-0.71875, 0)	4/18/2017 1:07:08 PM	450.6362
ReleaseFraction	MoonSets	moonset_3		0/3	(-0.71875, 0)	4/18/2017 1:07:09 PM	450.7192
FractionChange	Denominator	moonset_3		4		4/18/2017 1:07:09 PM	450.7192
PressFraction	MoonSets	moonset_3		0/4	(-0.71875, 0)	4/18/2017 1:07:09 PM	450.7902
ReleaseFraction	MoonSets	moonset_3		0/4	(-0.71875, 0)	4/18/2017 1:07:09 PM	450.8612
FractionChange	Denominator	moonset_3		5		4/18/2017 1:07:09 PM	450.8612
PressFraction	MoonSets	moonset_3		0/5	(-0.71875, 0)	4/18/2017 1:07:09 PM	450.9693
ReleaseFraction	MoonSets	moonset_3		0/5	(-0.71875, 0)	4/18/2017 1:07:09 PM	451.0411
FractionChange	Denominator	moonset_3		6		4/18/2017 1:07:09 PM	451.0411
PressFraction	MoonSets	moonset_3		0/6	(-0.71875, 0)	4/18/2017 1:07:09 PM	451.1401
ReleaseFraction	MoonSets	moonset_3		0/6	(-0.71875, 0)	4/18/2017 1:07:09 PM	451.2292
FractionChange	Denominator	moonset_3		7		4/18/2017 1:07:09 PM	451.2292
PressFraction	MoonSets	moonset_3		0/7	(-0.71875, 0)	4/18/2017 1:07:09 PM	451.3022
ReleaseFraction	MoonSets	moonset_3		0/7	(-0.71875, 0)	4/18/2017 1:07:09 PM	451.3572
